구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
북구,달천철장앞 사거리,2019,-,울산광역시 북구 천곡동 418-27,35.6338395,129.3323872,2020-09-23,O
북구,농소3동 도서관 앞,2019,-,울산광역시 북구 천곡동 437-4,35.6341739,129.3349883,2020-09-23,O
북구,프리지아상가앞 사거리,2019,-,울산광역시 북구 상안동 358-19,35.6287772,129.3428326,2020-09-23,O
북구,블루마시티2차푸르지오,2019,-,울산광역시 북구 산하동 467-7,35.6237039,129.4391494,2020-09-23,O
북구,강동119안전센터,2019,-,울산광역시 북구 산하동 296,35.631506,129.437057,2020-09-23,O
북구,강동119안전센터,2019,-,울산광역시 북구 산하동 296,35.631506,129.437057,2020-09-23,O
북구,블루마시티효성해링턴1,2019,-,울산광역시 북구 산하동 76,35.6339033,129.4373605,2020-09-23,O
북구,블루마시티서희스타힐스,2019,"울산광역시 북구 산하중앙3로 142(산하동, 울산블루마시티 서희스타힐스블루원아파트)",울산광역시 북구 산하동 95-2 울산블루마시티 서희스타힐스블루원아파트,35.6364408,129.4382339,2020-09-23,O
북구,명촌근린공원,2019,-,울산광역시 북구 명촌동 889-1,35.5538489,129.3557355,2020-09-23,O
북구,삼성디지털프라자,2019,울산광역시 북구 염포로 162(진장동),울산광역시 북구 진장동 756-6,35.5604296,129.3571445,2020-09-23,O
북구,삼성디지털프라자,2019,울산광역시 북구 염포로 162(진장동),울산광역시 북구 진장동 756-6,35.5604296,129.3571445,2020-09-24,O
북구,상방광장사거리,2019,-,울산광역시 북구 연암동 1012-1,35.5811367,129.3630698,2020-09-25,O
북구,고헌초등학교 앞,2019,-,울산광역시 북구 송정동 174-4,35.6021463,129.3701722,2020-09-26,O
북구,화봉사거리,2019,울산광역시 북구 화봉로 59(화봉동),울산광역시 북구 화봉동 448-3,35.5885731,129.3656289,2020-09-27,O
북구,화봉사거리,2019,울산광역시 북구 화봉로 59(화봉동),울산광역시 북구 화봉동 448-3,35.5885731,129.3656289,2020-09-28,O
북구,새마을금고 송정지점,2019,울산광역시 북구 화산중앙로 84(화봉동),울산광역시 북구 화봉동 1464 새마을금고,35.5885949,129.3658252,2020-09-29,O
북구,현대차 출고삼거리,2019,-,울산광역시 북구 양정동 779-14,35.5592981,129.3768909,2020-10-04,O
북구,현대차 2공장,2019,-,울산광역시 북구 양정동 59-26,35.5539531,129.3817251,2020-10-05,O
북구,현대차 정문,2019,-,울산광역시 북구 양정동 595-7,35.5430313,129.3849397,2020-10-06,O
북구,구암의원,2019,울산광역시 북구 염포로 633(염포동),울산광역시 북구 염포동 138-19,35.5356756,129.3892702,2020-10-07,O
북구,성원상떼빌 정문,2019,-,울산광역시 북구 염포동 335-2,35.5317195,129.392189,2020-10-08,O
북구,염포삼거리 삼포개항비,2019,-,울산광역시 북구 염포동 583-1,35.5249191,129.400445,2020-10-09,O
북구,북구청남문,2018,-,울산광역시 북구 연암동 999,35.580372,129.3608724,2020-09-23,X
북구,시장2리 사거리,2018,울산광역시 북구 호계로 254(호계동),울산광역시 북구 호계동 272-8,35.6263784,129.3526217,2020-09-23,X
북구,해링턴플레이스 공원,2019,-,울산광역시 북구 신천동 803-1,35.6375973,129.3472322,2020-09-23,X
북구,송정 한양수자인,2019,"울산광역시 북구 박상진3로 25(송정동, 한양수자인)",울산광역시 북구 송정동 1207-3 한양수자인,35.6026444,129.3621425,2020-09-30,X
북구,송정 한양수자인,2019,"울산광역시 북구 박상진3로 25(송정동, 한양수자인)",울산광역시 북구 송정동 1207-3 한양수자인,35.6026444,129.3621425,2020-10-01,X
북구,송정 금강펜테리움,2019,-,울산광역시 북구 화봉동 246,35.5976294,129.3662506,2020-10-02,X
북구,송정 금강펜테리움,2019,-,울산광역시 북구 화봉동 246,35.5976294,129.3662506,2020-10-03,X
북구,현대차 5공장,2019,울산광역시 북구 염포로 659(염포동),울산광역시 북구 염포동 185-3,35.5336068,129.390625,2020-10-10,X
동구,남목삼거리(SK텔레콤 앞),2018,-,울산광역시 동구 서부동 584-9,35.5395974,129.4233288,2020-09-23,O
동구,안산사거리(CU편의점 앞),2018,-,울산광역시 동구 서부동 957,35.5379579,129.4285111,2020-09-23,O
동구,안산사거리(애니카랜드 맞은편),2018,-,울산광역시 동구 서부동 955-2,35.5354681,129.417628,2020-09-23,O
